,Unnamed: 0,year,essay_number,essay_ID,essay_version,ground_truth,pyramid_name,output_vector,identifier,is_file_found,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Dimension 5,Dimension 6,Dimension 7,Dimension 8
0,12,2023.0,1.0,T3_PN2_ROW9,O,1.0,,"[1, 1, 0, 1, 1, 1]",1O1,True,1,1,0,1,1,1,,
1,13,2023.0,1.0,T3_PN4_ROW6,O,1.0,,"[1, 1, 0, 0, 0, 1]",1O1,True,1,1,0,0,0,1,,
2,16,2023.0,1.0,essay_energy.mass.3.190@test.com,O,1.0,,"[0, 0, 1, 1, 1, 1]",1O1,True,0,0,1,1,1,1,,
3,17,2023.0,1.0,essay_energy.mass.3.235@test.com,O,1.0,,"[1, 0, 1, 1, 1, 1]",1O1,True,1,0,1,1,1,1,,
4,19,2023.0,1.0,essay_energy.mass.3.412@test.com,O,1.0,,"[1, 1, 0, 1, 1, 0]",1O1,True,1,1,0,1,1,0,,
5,20,2023.0,1.0,essay_energy.mass.3.457@test.com,O,1.0,,"[1, 1, 1, 0, 1, 1]",1O1,True,1,1,1,0,1,1,,
6,23,2023.0,1.0,essay_energy.mass.3.592@test.com,O,1.0,,"[0, 1, 0, 1, 1, 1]",1O1,True,0,1,0,1,1,1,,
7,25,2023.0,1.0,essay_energy.mass.3.667@test.com,O,1.0,,"[1, 0, 0, 1, 1, 1]",1O1,True,1,0,0,1,1,1,,
8,28,2023.0,1.0,essay_energy.mass.3.721@test.com,O,1.0,,"[1, 1, 1, 1, 1, 1]",1O1,True,1,1,1,1,1,1,,
9,29,2023.0,1.0,essay_energy.mass.3.724@test.com,O,1.0,,"[1, 1, 1, 1, 1, 1]",1O1,True,1,1,1,1,1,1,,
10,32,2023.0,1.0,essay_energy.mass.3.769@test.com,O,1.0,,"[1, 1, 1, 1, 1, 1]",1O1,True,1,1,1,1,1,1,,
11,33,2023.0,1.0,essay_energy.mass.3.796@test.com,O,1.0,,"[1, 1, 1, 1, 1, 1]",1O1,True,1,1,1,1,1,1,,
12,37,2023.0,1.0,essay_energy.mass.3.946@test.com,O,1.0,,"[1, 1, 1, 1, 1, 1]",1O1,True,1,1,1,1,1,1,,
13,38,2023.0,1.0,essay_energy.mass.3.988@test.com,O,1.0,,"[1, 1, 1, 1, 1, 1]",1O1,True,1,1,1,1,1,1,,
14,45,2023.0,1.0,64210fcbc9a8df7fa3d2a2d6,O,1.0,,"[1, 1, 0, 1, 0, 1]",1O1,True,1,1,0,1,0,1,,
15,48,2023.0,1.0,64210fcec9a8df7fa3d2a306,O,1.0,,"[1, 1, 1, 0, 1, 1]",1O1,True,1,1,1,0,1,1,,
16,49,2023.0,1.0,64210fd1c9a8df7fa3d2a322,O,1.0,,"[1, 1, 0, 1, 1, 0]",1O1,True,1,1,0,1,1,0,,
17,50,2023.0,1.0,64210fd2c9a8df7fa3d2a32e,O,1.0,,"[0, 1, 1, 1, 1, 0]",1O1,True,0,1,1,1,1,0,,
18,52,2023.0,1.0,64210fd5c9a8df7fa3d2a356,O,1.0,,"[1, 0, 1, 0, 1, 1]",1O1,True,1,0,1,0,1,1,,
19,56,2023.0,1.0,64210fdec9a8df7fa3d2a3ca,O,1.0,,"[0, 1, 0, 0, 0, 0]",1O1,True,0,1,0,0,0,0,,
20,61,2023.0,1.0,6459950794c9f2071335ed05,O,1.0,,"[1, 0, 0, 0, 0, 1]",1O1,True,1,0,0,0,0,1,,
21,62,2023.0,1.0,6459950794c9f2071335ed09,O,1.0,,"[0, 0, 0, 0, 1, 0]",1O1,True,0,0,0,0,1,0,,
22,64,2023.0,1.0,6459950b94c9f2071335ed39,O,1.0,,"[0, 0, 0, 0, 1, 1]",1O1,True,0,0,0,0,1,1,,
23,72,2023.0,1.0,6459951594c9f2071335edb1,O,1.0,,"[1, 0, 0, 0, 1, 1]",1O1,True,1,0,0,0,1,1,,
24,73,2023.0,1.0,6459951594c9f2071335edb9,O,1.0,,"[1, 1, 1, 1, 1, 0]",1O1,True,1,1,1,1,1,0,,
25,74,2023.0,1.0,6459951994c9f2071335edf1,O,1.0,,"[0, 0, 0, 1, 1, 1]",1O1,True,0,0,0,1,1,1,,
26,77,2023.0,1.0,6459951e94c9f2071335ee2d,O,1.0,,"[0, 0, 0, 0, 1, 1]",1O1,True,0,0,0,0,1,1,,
27,79,2023.0,1.0,6459952294c9f2071335ee61,O,1.0,,"[0, 0, 0, 0, 0, 0]",1O1,True,0,0,0,0,0,0,,
28,80,2023.0,1.0,6459943b94c9f2071335bc79,O,1.0,,"[1, 1, 1, 1, 1, 1]",1O1,True,1,1,1,1,1,1,,
29,84,2023.0,1.0,6459943f94c9f2071335bca9,O,1.0,,"[1, 1, 1, 1, 1, 1]",1O1,True,1,1,1,1,1,1,,
30,89,2023.0,1.0,6459944794c9f2071335bd05,O,1.0,,"[1, 1, 1, 1, 1, 1]",1O1,True,1,1,1,1,1,1,,
31,91,2023.0,1.0,6459944b94c9f2071335bd35,O,1.0,,"[1, 1, 1, 0, 0, 1]",1O1,True,1,1,1,0,0,1,,
32,92,2023.0,1.0,6459944b94c9f2071335bd39,O,1.0,,"[1, 1, 0, 0, 1, 1]",1O1,True,1,1,0,0,1,1,,
