,year,essay_number,essay_ID,essay_version,ground_truth,pyramid_name,output_vector,identifier,is_file_found,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Dimension 5,Dimension 6,Dimension 7,Dimension 8
1164,2023.0,2.0,64210fc2c9a8df7fa3d2a276,O,0.0,20231029.0,"['1', '1', '1', '0', '1', '1', '0', '1']",2O0,True,1,1,1,0,1,1,0,1
1165,2023.0,2.0,64210fc2c9a8df7fa3d2a276_R,R,0.0,20231029.0,"['1', '1', '1', '0', '1', '1', '0', '1']",2R0,True,1,1,1,0,1,1,0,1
1166,2023.0,2.0,64210fc3c9a8df7fa3d2a27e,O,0.0,20231029.0,"['1', '1', '1', '0', '1', '0', '1', '1']",2O0,True,1,1,1,0,1,0,1,1
1167,2023.0,2.0,64210fc3c9a8df7fa3d2a27e_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '0', '0', '1']",2R0,True,1,1,1,1,1,0,0,1
1168,2023.0,2.0,64210fc3c9a8df7fa3d2a282,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2O0,True,1,1,1,1,1,1,1,1
1169,2023.0,2.0,64210fc3c9a8df7fa3d2a282_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1170,2023.0,2.0,64210fc4c9a8df7fa3d2a286,O,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2O0,True,1,1,0,1,1,1,1,1
1171,2023.0,2.0,64210fc4c9a8df7fa3d2a286_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1172,2023.0,2.0,64210fc4c9a8df7fa3d2a28a,O,0.0,20231029.0,"['0', '1', '0', '0', '1', '0', '0', '0']",2O0,True,0,1,0,0,1,0,0,0
1173,2023.0,2.0,64210fc4c9a8df7fa3d2a28a_R,R,0.0,20231029.0,"['1', '1', '0', '0', '1', '0', '1', '1']",2R0,True,1,1,0,0,1,0,1,1
1175,2023.0,2.0,64210fc5c9a8df7fa3d2a28e_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1178,2023.0,2.0,64210fc5c9a8df7fa3d2a296,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2O0,True,1,1,1,1,1,1,1,1
1179,2023.0,2.0,64210fc5c9a8df7fa3d2a296_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1180,2023.0,2.0,64210fc6c9a8df7fa3d2a29a,O,0.0,20231029.0,"['0', '1', '1', '1', '1', '0', '1', '1']",2O0,True,0,1,1,1,1,0,1,1
1181,2023.0,2.0,64210fc6c9a8df7fa3d2a29a_R,R,0.0,20231029.0,"['0', '1', '0', '1', '1', '1', '1', '1']",2R0,True,0,1,0,1,1,1,1,1
1183,2023.0,2.0,64210fc6c9a8df7fa3d2a29e_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1185,2023.0,2.0,64210fc6c9a8df7fa3d2a2a2_R,R,0.0,20231029.0,"['0', '0', '1', '0', '1', '1', '1', '1']",2R0,True,0,0,1,0,1,1,1,1
1186,2023.0,2.0,64210fc7c9a8df7fa3d2a2a6,O,0.0,20231029.0,"['1', '0', '0', '0', '1', '0', '1', '1']",2O0,True,1,0,0,0,1,0,1,1
1187,2023.0,2.0,64210fc7c9a8df7fa3d2a2a6_R,R,0.0,20231029.0,"['1', '0', '0', '1', '1', '1', '1', '1']",2R0,True,1,0,0,1,1,1,1,1
1188,2023.0,2.0,64210fc7c9a8df7fa3d2a2aa,O,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2O0,True,1,1,0,1,1,1,1,1
1189,2023.0,2.0,64210fc7c9a8df7fa3d2a2aa_R,R,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2R0,True,1,1,0,1,1,1,1,1
1190,2023.0,2.0,64210fc7c9a8df7fa3d2a2ae,O,0.0,20231029.0,"['1', '0', '1', '1', '1', '1', '1', '1']",2O0,True,1,0,1,1,1,1,1,1
1191,2023.0,2.0,64210fc7c9a8df7fa3d2a2ae_R,R,0.0,20231029.0,"['1', '0', '1', '1', '1', '1', '1', '1']",2R0,True,1,0,1,1,1,1,1,1
1192,2023.0,2.0,64210fc8c9a8df7fa3d2a2b2,O,0.0,20231029.0,"['1', '0', '0', '0', '1', '1', '0', '1']",2O0,True,1,0,0,0,1,1,0,1
1193,2023.0,2.0,64210fc8c9a8df7fa3d2a2b2_R,R,0.0,20231029.0,"['0', '0', '0', '1', '1', '1', '1', '1']",2R0,True,0,0,0,1,1,1,1,1
